date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
21-Feb-19,43780,47308,45069,17442,2424,156023,624,0,83,0,41,748
1-May-18,44799,45931,42465,17163,2278,152636,628,22,10,0,166,827
15-Jun-18,54289,47788,39581,19805,2304,163766,454,259,0,0,282,996
3-Aug-18,54572,46993,41675,18692,2633,164564,1314,0,40,0,145,1499
25-Sep-18,41955,50097,43423,20080,2591,158146,719,0,253,1507,114,2593
27-Apr-18,45561,47744,42503,18376,2307,156491,1000,23,0,0,99,1123
28-Sep-18,47578,51611,42667,20308,2641,164805,1138,11,20,1023,136,2328
7-Mar-19,41130,47235,45628,16692,2420,153105,1081,0,0,100,54,1235
2-May-18,47325,44039,38300,18358,2206,150228,765,0,0,0,124,889
16-Jun-18,54834,46351,39151,20506,2428,163270,1290,122,0,0,194,1605
22-Feb-19,43402,48074,44039,18002,2462,155979,674,0,0,0,50,724
22-Sep-18,52743,48924,41342,17515,2676,163200,506,0,35,250,160,951
7-Dec-18,44385,49108,40623,17350,2433,153899,572,0,66,55,42,735
10-Nov-18,37768,41224,42494,19549,2328,143363,451,0,0,0,34,485
4-Dec-18,42420,48528,39736,17504,2393,150581,495,0,0,0,49,544
29-Apr-18,46475,46920,42180,18776,2339,156690,917,34,10,0,203,1164
4-Mar-19,37981,43641,42215,16233,2362,142432,555,0,0,0,43,598
9-Dec-18,44015,48782,40815,17285,2414,153311,531,0,0,250,51,832
26-Sep-18,43958,51197,43501,20524,2520,161700,623,0,355,770,171,1919
9-Mar-19,42045,47188,45612,17029,2329,154203,1329,0,0,0,160,1489
24-Apr-18,44740,48215,43023,20152,2329,158459,871,84,135,0,133,1223
30-Jul-18,46955,42088,40183,19121,2623,150970,887,197,0,0,71,1155
26-Oct-18,43710,52789,44761,20020,2493,163773,1255,196,0,386,90,1927
14-Jan-19,43280,44986,38452,17079,2347,146144,678,0,0,20,18,716
26-Jan-19,44143,44607,41392,18118,2399,150659,803,0,0,0,23,826
10-Aug-18,53300,46102,41257,21244,2749,164652,1803,256,20,480,132,2691
6-Jun-18,53249,47037,41020,20848,2604,164759,1465,135,0,0,125,1725
12-May-18,49527,47930,38518,17874,2212,156060,623,106,0,0,180,910
19-Mar-19,42194,47983,46726,19617,2381,158901,781,20,130,0,117,1048
20-Jul-18,54264,41783,40349,21079,2732,160207,1397,76,0,300,191,1964
19-Dec-18,45074,47377,40541,17060,2035,152087,1199,0,0,0,195,1394
13-Sep-18,50985,49339,44340,20904,2546,168114,734,0,314,550,98,1696
14-Mar-19,42376,47565,46415,17810,2443,156609,1197,0,0,0,30,1227
14-Dec-18,44004,47701,41576,17640,2428,153349,572,0,-33,209,22,770
6-Sep-18,51729,45646,43930,20163,2766,164234,1420,0,30,0,130,1580
29-Dec-18,47478,47228,42396,18375,2409,157886,608,0,0,454,42,1104
4-Apr-18,42837,46864,44086,19362,2338,155488,785,80,0,0,92,958
10-Jul-18,58546,43367,37761,19676,2598,161948,1466,0,0,0,201,1667
29-Mar-19,42074,49826,46713,21103,2447,162163,466,0,182,0,137,785
30-Nov-18,42519,49431,39684,18059,2455,152148,532,0,0,0,52,584
24-Dec-18,43124,45544,36633,17141,2260,144702,578,0,0,0,36,614
13-Nov-18,41991,46793,42389,19270,2352,152795,508,0,33,0,41,582
5-Mar-19,39016,44295,44293,16710,2396,146710,1149,0,0,0,93,1242
24-Mar-19,40778,47813,46483,19569,2396,157039,1064,0,0,0,51,1115
